Dataset,Algorithm,Metric,Delta_Ratio,Time_s,Max_Radius,Silhouette,Adj_Rand,k
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.00147220000053494,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0014321999997264356,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0014172000001053675,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0013908999999330263,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0014342000004035071,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0014283000000432367,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0013795000004392932,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.001390999999784981,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0015348999995694612,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0013614999998026178,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.01,0.0014426999996430823,2.2857959965634564,0.1885178382580855,0.2445945568888213,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.001993199999560602,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0013524999994842801,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.001101300000300398,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010375000001658918,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.001087800000277639,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010482999996384024,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010924999996859697,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0014520000004267786,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010261000006721588,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010813999997481005,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010818999999173684,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0012257999997018487,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0011205999999219785,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0011007000002791756,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.05,0.0010378000006312504,1.9738237339454434,0.40363048201175106,0.45062832186517116,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.1,0.0017556999991938937,2.783079807154976,0.11990678000975638,0.04149770682602439,3
SKL_StandardBlobs_5,Refinement,Mahalanobis,0.1,0.0008517000005667796,2.783079807154976,0.11990678000975638,0.04149770682602439,3
